ObjectId,lat,long,offence,location,year,month,date,dayofweek,MCI,Arrest
1,43.73401277,-79.59033164,Assault,"Single Home, House (Attach Garage, Cottage, Mobile)",2014,March,2014/03/02 05:00:00+00,Sunday    ,Assault,1
2,43.73183406,-79.60070124,Robbery - Mugging,"Commercial Dwelling Unit (Hotel, Motel, B & B, Short Term Rental)",2013,December,2013/12/24 05:00:00+00,Tuesday   ,Robbery,1
3,43.68642313,-79.60079352,Assault,"Commercial Dwelling Unit (Hotel, Motel, B & B, Short Term Rental)",2013,January,2013/01/05 05:00:00+00,Saturday  ,Assault,1
4,43.74364194,-79.60387564,B&E,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",2013,December,2013/12/31 05:00:00+00,Tuesday   ,Break and Enter,1
5,43.69710833,-79.58644259,B&E,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",2014,January,2014/01/03 05:00:00+00,Friday    ,Break and Enter,1
6,43.67834241,-79.58493113,Theft Over,"Construction Site (Warehouse, Trailer, Shed)",2014,January,2014/01/08 05:00:00+00,Wednesday ,Theft Over,1
7,43.72298969,-79.62004286,B&E,"Single Home, House (Attach Garage, Cottage, Mobile)",2014,January,2014/01/08 05:00:00+00,Wednesday ,Break and Enter,0
8,43.67834241,-79.58493113,Theft Over,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",2014,January,2014/01/06 05:00:00+00,Monday    ,Theft Over,1
9,43.70262513,-79.58836162,Theft Over,"Other Non Commercial / Corporate Places (Non-Profit, Gov'T, Firehall)",2013,December,2013/12/26 05:00:00+00,Thursday  ,Theft Over,0
10,43.72813808,-79.62443421,B&E,"Single Home, House (Attach Garage, Cottage, Mobile)",2014,January,2014/01/10 05:00:00+00,Friday    ,Break and Enter,1
11,43.73236392,-79.61821394,Assault,Retirement Home,2014,January,2014/01/12 05:00:00+00,Sunday    ,Assault,0
12,43.75568941,-79.60226737,Assault,"Apartment (Rooming House, Condo)",2014,January,2014/01/12 05:00:00+00,Sunday    ,Assault,1
